,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
15,0.569965987,0.371339937,0.490942384,0.746363464,0.579769099,0.359313668,0.724290184,0.360410492,0.591932212,0.492884235,0.745649016,0.516144703,0.746221246,0.713183381,0.62768897,0.336831503,0.605075646,0.466005169,0.557657044,0.467963173,0.263013072,0.400806547,0.449567293,0.409434267,0.437436415,0.617292405,blues
17,0.620530628,0.45740125,0.581198805,0.679156307,0.598825604,0.506556345,0.83321029,0.267462397,0.383087295,0.595651006,0.674801293,0.620832568,0.860677618,0.728572836,0.666820044,0.546264612,0.669434896,0.514977137,0.599896249,0.460457331,0.298916366,0.354573001,0.399988184,0.483044422,0.4690043,0.5973267,rock
18,0.479329744,0.10498738,0.483637192,0.825164061,0.633529295,0.167159005,0.481807652,0.361220433,0.648278666,0.344912899,0.81763372,0.550120186,0.724285368,0.635971551,0.748945022,0.447545201,0.667426501,0.67889559,0.567845732,0.432438028,0.360649059,0.500277507,0.372950512,0.416448934,0.502107341,0.410196922,hiphop
19,0.566047849,0.190943167,0.326847049,0.565369991,0.349729381,0.214026974,0.593050025,0.470379523,0.467004654,0.479632841,0.751594111,0.501924559,0.745866274,0.6977841,0.761626897,0.68827938,0.738191806,0.541207328,0.678018216,0.545259279,0.368083661,0.613221475,0.61303069,0.488841979,0.507769693,0.720200883,electronic
20,0.606943368,0.533956779,0.432466342,0.690603177,0.505793095,0.190341251,0.76340004,0.368150532,0.481597866,0.488325656,0.784983427,0.491396848,0.743905547,0.871776664,0.662243877,0.442850018,0.812017625,0.939676388,0.695725083,0.511114569,0.450240832,0.428218103,0.447669289,0.479797307,0.459035546,0.399438962,electronic
21,0.500944581,0.47967745,0.511583222,0.664045353,0.538826427,0.374845727,0.839409463,0.332931128,0.432908934,0.682382768,0.760535696,0.347689425,0.560600221,0.642686289,0.469998317,0.320177679,0.545911578,0.407070325,0.523703433,0.432214509,0.256983958,0.403561463,0.352862412,0.469444424,0.479385257,0.480415499,rock
22,0.294455371,0.229668863,0.560621274,0.806130682,0.67041783,0.309522855,0.665222292,0.308012303,0.644719485,0.549544596,0.666664602,0.366663092,0.645701269,0.652968455,0.526621528,0.44019167,0.431377661,0.373175024,0.457517639,0.431230908,0.254851043,0.264980347,0.470620713,0.533229649,0.358835291,0.327111411,folk
23,0.481182077,0.224056663,0.047179482,0.129327885,0.047092477,0.050499248,0.450299953,0.966738806,0.511887763,0.558949587,0.804566534,0.222860434,0.864399783,0.575369269,0.231234918,0.356116492,0.782473058,0.215426437,0.525115814,0.315580834,0.340727217,0.292427859,0.323379057,0.341110284,0.57323475,0.349816786,electronic
24,0.581001186,0.189575462,0.745790621,0.826099247,0.777183644,0.559867044,0.692500113,0.212857924,0.536355548,0.450359915,0.714159497,0.39879829,0.498080531,0.636107705,0.501109925,0.41749644,0.591028707,0.460786556,0.63371267,0.47671673,0.315425641,0.480459299,0.335662662,0.425330065,0.390136165,0.333002933,hiphop
25,0.298938418,0.432519993,0.225871197,0.52418475,0.240624378,0.119333094,0.598058495,0.572516412,0.742268227,0.495073666,0.682694686,0.384375992,0.597427083,0.525887721,0.484905784,0.683833609,0.639989842,0.424915292,0.475762888,0.272849857,0.622867762,0.689228893,0.50449661,0.63556612,0.348403829,0.09188673,alternative
27,0.437728752,0.270353063,0.480824751,0.745073897,0.584433758,0.25575769,0.644334818,0.345781901,0.636122443,0.526725226,0.739575402,0.446194799,0.631014587,0.622484035,0.536463188,0.407743053,0.651169503,0.421935992,0.506053916,0.354933778,0.36202696,0.381592274,0.36919505,0.354165234,0.391065007,0.487447702,rock
28,0.325670687,0.247219789,0.333558057,0.661524551,0.436420011,0.11251164,0.559738965,0.400623888,0.626724412,0.523437258,0.803286962,0.694407736,0.638882906,0.6863187,0.599249007,0.319485328,0.395549954,0.254667394,0.539767062,0.309634351,0.124490845,0.26310023,0.45433294,0.330849055,0.375252037,0.384998988,pop
29,0.209403909,0.462827715,0.388123082,0.698884026,0.456560363,0.203057403,0.669537541,0.405439675,0.679835615,0.39897568,0.702366483,0.452783723,0.338458555,0.388127124,0.236061847,0.367413674,0.467217221,0.283392858,0.351920143,0.179238425,0.10470493,0.189973472,0.216565542,0.435099519,0.451435745,0.478499995,folk
30,0.584546114,0.416112614,0.63683564,0.742029951,0.632651241,0.451935716,0.749007457,0.234324023,0.504706403,0.618185721,0.827760556,0.167155961,0.645196075,0.478838258,0.350632707,0.458368279,0.549959286,0.48617824,0.689607571,0.488487111,0.334389843,0.525386037,0.366047382,0.455802595,0.528339283,0.383472441,hiphop
31,0.348873365,0.341483294,0.251613279,0.476150692,0.280651269,0.145005994,0.604278776,0.536142338,0.580473896,0.628937236,0.615898557,0.538486217,0.528206188,0.505497552,0.391206865,0.313099394,0.434919042,0.450629732,0.59222829,0.315373316,0.246148209,0.405759167,0.388710481,0.410314176,0.365004401,0.460851212,folk
32,0.671965201,0.339101412,0.421283831,0.621638376,0.434574727,0.323375172,0.719973475,0.404818005,0.502392428,0.684511304,0.833895391,0.232044295,0.548159153,0.814583524,0.617281884,0.541421874,0.566070535,0.402224365,0.814404552,0.463899876,0.232846941,0.667728915,0.265942817,0.404352722,0.458385656,0.319517963,folk
34,0.328903477,0.178431154,0.342697603,0.51973721,0.354592974,0.246320827,0.515469004,0.479230511,0.583186071,0.478378428,0.419940782,0.287215225,0.574039922,0.37642305,0.576065732,0.299677026,0.532092749,0.243903454,0.473952131,0.339733515,0.261426936,0.437573286,0.367181254,0.495580601,0.501816823,0.555209754,electronic
37,0.632751613,0.28949212,0.66015544,0.893649571,0.798545038,0.266704985,0.666001987,0.202092348,0.703492787,0.602171781,0.720970922,0.519860889,0.653109395,0.740000922,0.462919946,0.454828296,0.658245033,0.552245712,0.695597488,0.653982753,0.454069064,0.676849204,0.544593212,0.462002849,0.547832792,0.568789009,hiphop
40,0.610185268,0.257416241,0.577806652,0.846522368,0.689446895,0.345421252,0.694513582,0.320007621,0.644934794,0.47763098,0.79954997,0.548632757,0.701396071,0.550259537,0.608516042,0.473071171,0.645506468,0.557961741,0.572383474,0.482040094,0.328031736,0.498978227,0.519184533,0.44185531,0.396824886,0.608776348,alternative
41,0.867809728,0.53622123,0.56195598,0.724120605,0.621672143,0.304982647,0.848275553,0.264519889,0.469639245,0.716435821,0.737270745,0.58995839,0.763913719,0.720997713,0.764815992,0.49241029,0.723696125,0.560145638,0.630916319,0.534426149,0.354031344,0.467521163,0.464763332,0.437355686,0.529273942,0.644048146,rock
42,0.619104665,0.490840455,0.421123712,0.64651157,0.498885284,0.213331907,0.754110473,0.438232664,0.51949131,0.554713642,0.710543142,0.480895083,0.695588836,0.54434771,0.630776882,0.467368918,0.644769408,0.594387903,0.609780454,0.475666494,0.370153381,0.312662916,0.421510868,0.486801185,0.427964059,0.363447591,electronic
44,0.43977659,0.149005995,0.45221244,0.545024435,0.455877813,0.440783463,0.650508048,0.421155526,0.324182795,0.651928292,0.643951203,0.384404611,0.666165824,0.658418857,0.273383167,0.57531125,0.465057105,0.639038052,0.511370285,0.465840255,0.244368398,0.430493449,0.305424312,0.497979632,0.300352606,0.427377051,blues
45,0.627269796,0.469682829,0.55797484,0.624860614,0.541217064,0.496473431,0.881395921,0.307862959,0.285777723,0.459232863,0.562840229,0.46587107,0.715916054,0.657603858,0.589589005,0.622649277,0.702556841,0.611772291,0.665930988,0.4874548,0.343666534,0.459719659,0.430500486,0.511372053,0.52633612,0.58616225,alternative
46,0.577838175,0.232004997,0.356491698,0.623561386,0.438261866,0.206639667,0.619824107,0.42961902,0.533376212,0.637650921,0.812653627,0.541045037,0.817649216,0.760923821,0.60548414,0.544716108,0.758071606,0.549554689,0.606181588,0.363336233,0.234762403,0.372339044,0.360299929,0.79644268,0.605672464,0.59564627,blues
47,0.344056345,0.403623242,0.512411245,0.765571726,0.603919,0.28057067,0.75654982,0.341805546,0.543163744,0.493813149,0.695480876,0.353081951,0.676648452,0.537695337,0.586407278,0.553930523,0.717060559,0.731804249,0.665029922,0.451401284,0.272319859,0.287829584,0.372689244,0.355617368,0.477160255,0.589742473,folk
48,0.553313463,0.510283727,0.382200797,0.719110846,0.485707622,0.153734423,0.708776562,0.43562236,0.642573146,0.545630618,0.701397182,0.333352411,0.711891012,0.501620687,0.880005487,0.385979373,0.700155014,0.586967932,0.733749253,0.519403231,0.35732938,0.316893665,0.481306641,0.468678312,0.644028168,0.797150909,electronic
50,0.645234724,0.453525526,0.331220621,0.673222056,0.428037345,0.115759741,0.652169918,0.462020193,0.64439179,0.517134703,0.901299547,0.473407197,0.697639286,0.671444129,0.73508601,0.521000393,0.724844958,0.562895469,0.654909499,0.535041441,0.455189946,0.592385203,0.590736314,0.566793545,0.482083545,0.563316123,electronic
51,0.444970594,0.095781282,0.201712535,0.44992092,0.224057979,0.133862654,0.438386736,0.568124442,0.53490915,0.557340792,0.807688661,0.603861905,0.810082607,0.649555875,0.822997626,0.512323858,0.465545345,0.443000952,0.649661808,0.412349642,0.272973973,0.364224797,0.443218903,0.377167411,0.399586504,0.644546463,folk
52,0.7722794,0.378755637,0.67932011,0.832531964,0.756302435,0.409888656,0.762767058,0.163523293,0.52354489,0.695117431,0.838977696,0.512633741,0.766317654,0.708318572,0.791715887,0.540638815,0.770822275,0.520449044,0.684309577,0.534461063,0.290584972,0.423282151,0.418854378,0.418039495,0.506563479,0.406103286,rock
53,0.428420869,0.426837325,0.575585417,0.771703285,0.663612916,0.336848766,0.773446631,0.27469052,0.513107928,0.498810815,0.708091512,0.621183704,0.638503979,0.56806906,0.646269903,0.541998533,0.713023823,0.596852414,0.524431125,0.472219934,0.338046985,0.397092183,0.57118171,0.586940772,0.546343098,0.626959851,rock
54,0.711615438,0.174195679,0.883825952,0.92205244,0.932924947,0.692401944,0.666960781,0.063565366,0.554533085,0.504852761,0.791171405,0.336079123,0.618041969,0.676506047,0.560304447,0.466887765,0.696370775,0.450455464,0.611313839,0.615232917,0.425173212,0.492101308,0.51722876,0.590238357,0.454303925,0.508630215,hiphop
55,0.734332325,0.444194872,0.578195501,0.826736531,0.715610144,0.297679995,0.74157675,0.299382089,0.657346638,0.522457856,0.654666405,0.506008458,0.619097507,0.736793332,0.297305205,0.422271973,0.608338679,0.615348309,0.647577231,0.619900298,0.307783568,0.383204944,0.472900095,0.36398882,0.493425846,0.584418164,hiphop
56,0.520839388,0.811494364,0.68877941,0.835888882,0.770742298,0.503089927,0.964000628,0.232451006,0.552033913,0.555746166,0.657485697,0.431499227,0.545749812,0.665522703,0.712430917,0.39108332,0.56913523,0.608262667,0.63247354,0.45304567,0.30043539,0.429027614,0.341545134,0.399060288,0.527857811,0.380080925,rock
57,0.304695766,0.22958243,0.592163325,0.712408477,0.635954232,0.398117083,0.671603379,0.201691746,0.502112356,0.673899498,0.515917259,0.558375545,0.609145189,0.458533713,0.534891085,0.351146704,0.430728606,0.281276259,0.355025647,0.281387622,0.178030127,0.281487872,0.284267954,0.320474146,0.177125844,0.26993153,folk
59,0.56289707,0.262962768,0.474565366,0.7512061,0.569609746,0.246365382,0.657266538,0.376470747,0.568321233,0.348199386,0.691015668,0.52485909,0.653854849,0.741440329,0.795268743,0.523211784,0.73752126,0.608074249,0.77478781,0.605593985,0.396534921,0.53388013,0.362015806,0.382937264,0.411945257,0.319247943,hiphop
60,0.391568971,0.523287371,0.239308874,0.481690687,0.254193048,0.12553968,0.691918661,0.579226753,0.557096907,0.501426362,0.642040898,0.412038086,0.638843292,0.426482373,0.416866987,0.207014688,0.480441689,0.443287618,0.597307999,0.368288434,0.193579871,0.376587923,0.197375748,0.202575445,0.251728437,0.171902981,folk
63,0.300653192,0.41432611,0.38461117,0.666551674,0.451617882,0.226337671,0.733632762,0.465362961,0.578938433,0.417653063,0.680329735,0.566485332,0.722605313,0.499868364,0.401026958,0.457338485,0.605053175,0.691711428,0.529061949,0.473051599,0.395414166,0.515150493,0.656286748,0.606360259,0.461478518,0.326697816,pop
64,0.200731919,0.157654704,0.226126124,0.10041293,0.164418941,0.355784867,0.374618645,0.749499073,0,0,0.77979736,0.297318018,0.434385482,0.24678826,0.45492336,0.070072439,0.224832044,0.012801846,0.65814268,0.595589237,0.509178849,0.326538555,0.282419688,0.050935492,0.392397305,0.508843297,electronic
66,0.307783174,0.177536304,0.247178958,0.493856943,0.276525103,0.149372437,0.55048506,0.538596329,0.542968926,0.594440993,0.808741634,0.428872036,0.577839732,0.583288986,0.584168352,0.434847628,0.498137539,0.621132634,0.60308293,0.579446112,0.415939288,0.497935859,0.390868041,0.429929841,0.486526691,0.527442915,folk
67,0.296234699,0.079373445,0.49024992,0.653923551,0.504246212,0.357014603,0.500369054,0.401039512,0.521427087,0.450946326,0.617850546,0.348907233,0.723317098,0.40783033,0.359252598,0.279258136,0.524835672,0.416109893,0.579505331,0.436550293,0.250059576,0.35019487,0.290438546,0.40004212,0.381347359,0.251928698,folk
69,0.556481686,0.377348495,0.502893076,0.81351529,0.638097917,0.274858649,0.692414323,0.335948384,0.649223809,0.496704634,0.760020717,0.423931413,0.694720587,0.581739957,0.683481434,0.598933522,0.664024041,0.565371159,0.624668404,0.521110022,0.395251246,0.545937386,0.469382835,0.435708901,0.434127393,0.624715927,hiphop
70,0.57303803,0.468757898,0.566994983,0.751165153,0.649955068,0.40709948,0.808473377,0.292908514,0.509003655,0.604398641,0.766737494,0.674324653,0.630194698,0.586373973,0.648513509,0.416326238,0.658262499,0.566496829,0.593366416,0.49698638,0.322892039,0.431213572,0.507999335,0.500683011,0.472583382,0.479347277,folk
71,0.432584983,0.381091271,0.433691372,0.702356151,0.53210726,0.230151624,0.680311239,0.409148858,0.595996319,0.436942958,0.718968082,0.433505399,0.487247754,0.534727712,0.38740858,0.23177079,0.417379574,0.403964174,0.459204436,0.36229734,0.19683233,0.249200589,0.309898923,0.273762008,0.276571785,0.347523794,folk
72,0.599750278,0.515410937,0.536091323,0.725283276,0.590871674,0.402385503,0.862065662,0.350941578,0.4396147,0.516993175,0.809682046,0.383647535,0.700873198,0.56068476,0.638728025,0.385242826,0.592639913,0.549143109,0.607939663,0.456760359,0.298529595,0.302416505,0.423776569,0.525312287,0.569735461,0.505566221,alternative
73,0.697254945,0.244443662,0.622626579,0.875501894,0.75910466,0.351881803,0.689785602,0.253548056,0.629107918,0.505928115,0.725549497,0.5432407,0.752567495,0.646344797,0.748072462,0.562472149,0.650072036,0.502012589,0.687623217,0.622552076,0.488561646,0.591971547,0.535064457,0.438730181,0.501026757,0.651627678,hiphop
74,0.636321663,0.311467534,0.497604855,0.704051401,0.54268849,0.319721616,0.631514128,0.340331209,0.551201712,0.512947542,0.835483275,0.442666689,0.613284403,0.5810262,0.539222208,0.506548873,0.594197252,0.387095723,0.680389366,0.440357833,0.375413349,0.548655459,0.376232986,0.42728059,0.521910667,0.508072235,hiphop
75,0.210262063,0.405779885,0.380020642,0.58218854,0.400845126,0.238590441,0.661191719,0.458384518,0.562150072,0.380085512,0.559623221,0.406552749,0.434476566,0.350271974,0.411310693,0.235254835,0.512277496,0.381374964,0.596776516,0.3745919,0.359639003,0.312338402,0.367085336,0.496291839,0.593798627,0.577039963,folk
76,0.393343581,0.155711783,0.570768451,0.776890457,0.651165822,0.361835511,0.617735343,0.312005463,0.558845546,0.537091394,0.714879398,0.202939183,0.49362513,0.443645218,0.358787251,0.350552174,0.562108842,0.312733249,0.499390201,0.413951977,0.275561035,0.366175497,0.313996049,0.383079571,0.356322605,0.403973014,folk
77,0.576804849,0.408563968,0.533987743,0.642709805,0.542496416,0.400932994,0.805845754,0.329479196,0.314985797,0.512961545,0.613437577,0.310917966,0.618078275,0.381456366,0.644438747,0.499232518,0.681021472,0.483797206,0.666842228,0.430706336,0.223361928,0.391638176,0.258333049,0.380650426,0.340410437,0.422989125,rock
78,0.47463904,0.476519565,0.489848197,0.728363788,0.563700035,0.361385501,0.806042287,0.336773545,0.484539992,0.533511047,0.816244759,0.502232836,0.664916852,0.639582474,0.499227467,0.19358823,0.334174529,0.355054845,0.652652509,0.377367508,0.229528518,0.350498908,0.121356152,0.243073791,0.399674538,0.544865476,folk
79,0.303173465,0.487714299,0.514271997,0.767424457,0.639908902,0.320706295,0.807041928,0.327565946,0.629882735,0.554241006,0.586220837,0.60572376,0.764822679,0.670929545,0.577270337,0.451163545,0.520158764,0.536328512,0.626044833,0.625942078,0.40025846,0.51311508,0.427147335,0.519303897,0.468286472,0.60604275,alternative
80,0.363542017,0.426820478,0.3769069,0.685129408,0.455816075,0.181296479,0.740854237,0.42630834,0.609641793,0.54272396,0.727867635,0.388506224,0.686168103,0.741925244,0.706069992,0.445310334,0.589105052,0.556857102,0.676539366,0.526037677,0.401911798,0.494844902,0.577146823,0.617890929,0.506747011,0.577480933,electronic
83,0.55137337,0.268618136,0.588856704,0.808821261,0.694272759,0.385351924,0.630074736,0.138256491,0.616856025,0.701803043,0.734248348,0.638177244,0.815896753,0.653022799,0.646954346,0.448316431,0.589992173,0.291972792,0.492125843,0.360105753,0.399072612,0.38424137,0.298108478,0.272012323,0.424713579,0.521435388,blues
84,0.482526386,0.705725216,0.489808207,0.68423273,0.553074216,0.348339638,0.878157653,0.384394467,0.530024191,0.579676667,0.622189173,0.245795768,0.533472591,0.630233655,0.513062633,0.431642162,0.652667318,0.571222402,0.577286339,0.370375138,0.385536336,0.415921441,0.431176983,0.552647282,0.525305543,0.546538514,blues
85,0.452711538,0.421109709,0.617792832,0.792219076,0.734985629,0.436559599,0.803385124,0.279098808,0.521441989,0.483842168,0.676402987,0.640650245,0.635629329,0.560110539,0.534248903,0.535192052,0.691775263,0.302955825,0.515086419,0.404136805,0.402491576,0.267184271,0.337530615,0.400935341,0.291911766,0.480746151,folk
87,0.353598441,0.380652577,0.620619592,0.847196903,0.760116479,0.400683481,0.794455582,0.290223728,0.609251584,0.404803304,0.598559463,0.459808997,0.553269027,0.577730818,0.545453087,0.359178394,0.530778774,0.416021283,0.531226952,0.484693029,0.341270475,0.555785392,0.416499713,0.438626707,0.415077143,0.444463914,folk
90,0.447696134,0.364184003,0.573362862,0.911078732,0.778058267,0.293032853,0.706100072,0.279748085,0.797082894,0.512541388,0.751288257,0.547617684,0.609931421,0.49431399,0.561671775,0.356520236,0.580267791,0.565189247,0.540861103,0.503070684,0.311710901,0.329424691,0.362354888,0.340020609,0.38145978,0.594034222,pop
91,0.565353218,0.633150389,0.649533557,0.824583931,0.72434952,0.398718583,0.78740667,0.187214514,0.608601893,0.555672089,0.73790174,0.526279182,0.787472087,0.604166762,0.568098488,0.58279508,0.673568459,0.573385612,0.640533948,0.553851304,0.38669154,0.407450913,0.3872157,0.489852192,0.385581141,0.350106211,alternative
92,0.408146118,0.27437898,0.387774356,0.661955358,0.479235408,0.205548058,0.658845983,0.421301267,0.574817958,0.602080124,0.758227793,0.443982097,0.567191427,0.617083744,0.527614009,0.376826389,0.506704799,0.409815668,0.623497876,0.435468338,0.241476192,0.292399259,0.393958488,0.512183485,0.412788403,0.395320778,folk
93,0.489217699,0.404916216,0.62218564,0.831131175,0.744764263,0.401133491,0.820486436,0.263086927,0.547154372,0.563400296,0.747189672,0.5144204,0.612876839,0.638081239,0.638341547,0.468971772,0.565184762,0.594236939,0.528304853,0.492063211,0.332094655,0.367818273,0.396826841,0.552998778,0.500411639,0.585060075,alternative
94,0.382168575,0.359089255,0.543555359,0.644829153,0.569908147,0.420778028,0.753906893,0.288717606,0.388923784,0.542224054,0.576762025,0.540361586,0.582481808,0.591845052,0.656873791,0.388094497,0.597531069,0.59616435,0.548255803,0.485043043,0.424177699,0.436670208,0.5117211,0.557140796,0.485729027,0.580509229,blues
95,0.584893095,0.601089494,0.611711819,0.745168381,0.655281697,0.439406697,0.876935565,0.276947386,0.463914659,0.542824939,0.668295006,0.460329527,0.677046741,0.609405828,0.65821153,0.584739086,0.649177922,0.619003899,0.730653965,0.535055641,0.385984301,0.606559049,0.48831685,0.450122922,0.426629701,0.650764215,blues
96,0.54590809,0.431150109,0.932894995,0.945181742,0.962682728,0.786837403,0.784721173,0.096504086,0.674439443,0.413704008,0.662506993,0.538834468,0.555804688,0.563637095,0.528894855,0.389804266,0.548720448,0.517110355,0.567748576,0.458148363,0.311852627,0.466646043,0.393721463,0.484121245,0.445200818,0.475747269,hiphop
97,0.294643589,0.376837251,0.217115823,0.525892176,0.251644635,0.071311137,0.585478524,0.534780236,0.676048475,0.615619587,0.849757825,0.665623284,0.663183441,0.49657277,0.48139149,0.310286702,0.501130271,0.457139632,0.530503291,0.393802656,0.394103372,0.368670841,0.468608476,0.530496269,0.397558648,0.477435051,alternative
98,0.545112824,0.175399157,0.690270198,0.887906362,0.808261934,0.434643712,0.663870871,0.22587002,0.649586157,0.520776879,0.646469147,0.541621126,0.64102306,0.671526608,0.715666085,0.522616965,0.615188535,0.503733857,0.556783989,0.650609048,0.333722549,0.4965086,0.496895769,0.550846836,0.457704063,0.417110593,electronic
100,0.773380251,0.544085145,0.436709224,0.773893204,0.606007806,0.114948828,0.764109222,0.347218764,0.621946026,0.55207578,0.643281985,0.629339669,0.822325387,0.788934573,0.76317511,0.599215293,0.701781329,0.60439241,0.689640406,0.490893258,0.478842791,0.547469343,0.568364136,0.58394027,0.566912151,0.638983373,pop
101,0.521288666,0.405270506,0.115208221,0.342817099,0.124704171,0.046003592,0.501127834,0.671007598,0.765006053,0.621089847,0.927102351,0.298485873,0.800420354,0.472481961,0.472499889,0.407395323,0.580000001,0.43830532,0.624724235,0.360405775,0.406037402,0.365135901,0.265820494,0.323018385,0.463412179,0.595400637,electronic
102,0.652707319,0.405737168,0.350910476,0.571760057,0.38682714,0.224586638,0.695120421,0.478964719,0.457503529,0.650558115,0.956012297,0.446011622,0.671352142,0.593023204,0.37158483,0.243112774,0.751134678,0.570592518,0.413879307,0.254647999,0.467076061,0.444329556,0.269540899,0.513864449,0.523957417,0.292517692,rock
103,0.510364556,0.148679306,0.603870807,0.783318934,0.732883405,0.316210694,0.597196481,0.228168633,0.536989623,0.798587272,0.631352026,0.913564319,0.391384145,1,0.381484282,0.674892821,0.438331032,0.988838405,0.389964942,0.667632697,0.360773098,0.69267363,0.284013294,0.505168557,0.331375845,0.445182729,rock
104,0.500470005,0.3543752,0.377348709,0.647646515,0.450654081,0.220206828,0.643254078,0.415128151,0.648640646,0.583275773,0.705814466,0.603195475,0.792528802,0.593695288,0.625080777,0.481371909,0.589565017,0.507298524,0.570575963,0.46216315,0.332926446,0.330451487,0.423755291,0.429821529,0.511658419,0.526453465,pop
107,0.305249282,0.477469767,0.5126682,0.742968868,0.587945972,0.352229338,0.75929634,0.302234366,0.535907414,0.504146122,0.677532103,0.326768182,0.630524202,0.599839796,0.613498518,0.588266926,0.899676015,0.811920436,0.597718862,0.498251969,0.308401158,0.272155304,0.408647447,0.597876839,0.537316159,0.522157718,rock
108,0.6040088,0.341376417,0.588821028,0.898347665,0.753620256,0.186941664,0.644104863,0.261685957,0.815054696,0.531763449,0.603542874,0.571173436,0.705945423,0.754062461,0.589805369,0.414283033,0.579747378,0.471983656,0.658785494,0.655759592,0.500137843,0.734791586,0.64964407,0.561567622,0.449523457,0.492076432,electronic
109,0.347362866,0.271699642,0.349198406,0.654841573,0.432214958,0.144493605,0.634102224,0.437609164,0.589722016,0.564946503,0.749119122,0.463688452,0.645781735,0.515872771,0.448579089,0.474858595,0.620841487,0.658355477,0.60963688,0.611788989,0.43170875,0.611848843,0.659205332,0.585531097,0.399634889,0.353167744,folk
112,0.337867643,0.370656325,0.58537113,0.858492765,0.754553187,0.312254111,0.720499557,0.311482118,0.68533095,0.491028868,0.679427225,0.529394061,0.564109968,0.590223392,0.425328267,0.475798487,0.44220123,0.544735438,0.468957146,0.573097835,0.232936758,0.350989048,0.397732677,0.469760102,0.36239533,0.407262235,rock
